city,neighbourhood,min,max,mean,bedrooms,level,neighbourhood-level
DC,16th Street Heights,3.33220451,7.313220387,4.678870854,1.450549451,3.22558521,1
DC,Adams Morgan,3.401197382,7.598399329,4.938512189,1.102439024,4.479623888,4
SF,Alamo Square,4.094344562,7.43838353,5.146055718,1.360824742,3.781571247,2
Chicago,Albany Park,2.995732274,5.700443573,4.261204637,1.578947368,2.698762937,1
LA,Alhambra,3.218875825,5.700443573,4.192188949,1.272727273,3.293862745,1
NYC,Allerton,3.63758616,4.49980967,3.988390514,0.833333333,4.786068617,4
Boston,Allston-Brighton,3.091042453,6.906754779,4.416305108,1.282608696,3.443220932,1
LA,Alondra Park,4.532599493,5.272999559,4.902799526,2,2.451399763,1
NYC,Alphabet City,3.401197382,7.43838353,4.936046627,1.144246353,4.313797123,4
LA,Altadena,3.17805383,6.684611728,4.697578902,1.37037037,3.427962982,1
DC,American University Park,3.871201011,6.214608098,4.876309777,1.863636364,2.616556466,1
DC,Anacostia,2.302585093,5.991464547,4.259070437,1.25,3.40725635,1
Chicago,Andersonville,3.465735903,5.991464547,4.690021246,1.477272727,3.174783613,1
NYC,Annadale,4.663439094,4.663439094,4.663439094,1,4.663439094,4
DC,Arboretum,4.234106505,4.234106505,4.234106505,0,inf,4
LA,Arcadia,3.465735903,5.793013608,4.581417169,1.776315789,2.579168184,1
Chicago,Archer Heights,3.713572067,3.912023005,3.812797536,1,3.812797536,2
LA,Arleta,3.555348061,5.480638923,4.241622146,2,2.120811073,1
Chicago,Armour Square,3.80666249,6.109247583,4.328385751,1.4,3.091704108,1
NYC,Arrochar,4.779123493,4.779123493,4.779123493,1,4.779123493,4
LA,Artesia,3.912023005,3.912023005,3.912023005,1,3.912023005,3
LA,Arts District,3.583518938,6.723832441,4.693019286,1.06,4.427376685,4
Chicago,Ashburn,4.234106505,4.234106505,4.234106505,1,4.234106505,4
NYC,Astoria,2.708050201,6.802394763,4.4841983,1.183946488,3.787500824,2
LA,Atwater Village,3.688879454,6.396929655,4.729634758,1.410958904,3.352071236,1
Chicago,Auburn Gresham,4.094344562,4.442651256,4.268497909,1,4.268497909,4
